full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
Bruno Saltor Grau,39,Premier League,Defender,Brighton & Hove Albion,1136,Spain,14,0,0,0,1,4,2,0
Shane Duffy,27,Premier League,Defender,Brighton & Hove Albion,3088,Republic of Ireland,35,5,2,3,1,7,5,1
Lewis Dunk,27,Premier League,Defender,Brighton & Hove Albion,3153,England,36,2,0,2,1,7,7,1
Bernardo,24,Premier League,Defender,Brighton & Hove Albion,1750,Brazil,22,0,0,0,1,4,4,0
Dale Stephens,30,Premier League,Midfielder,Brighton & Hove Albion,2487,England,30,1,0,1,1,5,7,1
Pascal Groß,28,Premier League,Midfielder,Brighton & Hove Albion,1878,Germany,25,3,2,1,3,3,1,0
Davy Pröpper,28,Premier League,Midfielder,Brighton & Hove Albion,2551,Netherlands,30,1,0,1,1,5,2,0
Anthony Knockaert,27,Premier League,Midfielder,Brighton & Hove Albion,1832,France,30,2,1,1,6,3,5,1
Solomon March,25,Premier League,Midfielder,Brighton & Hove Albion,2473,England,35,1,1,0,5,6,1,0
Glenn Murray,36,Premier League,Forward,Brighton & Hove Albion,2514,England,38,13,8,5,1,7,5,0
Gaëtan Bong Songo,31,Premier League,Defender,Brighton & Hove Albion,1805,Cameroon,22,0,0,0,0,5,0,0
Yves Bissouma,23,Premier League,Midfielder,Brighton & Hove Albion,1769,Mali,28,0,0,0,0,5,5,0
Alireza Jahanbakhsh,26,Premier League,Forward,Brighton & Hove Albion,1022,Iran,19,0,0,0,0,4,2,0
Beram Kayal,31,Premier League,Midfielder,Brighton & Hove Albion,933,Israel,18,1,0,1,1,5,4,0
Jürgen Locadia,25,Premier League,Forward,Brighton & Hove Albion,1227,Netherlands,26,2,2,0,0,4,1,0
Leon Balogun,31,Premier League,Defender,Brighton & Hove Albion,591,Nigeria,8,1,1,0,0,0,2,0
David Button,30,Premier League,Goalkeeper,Brighton & Hove Albion,360,England,4,0,0,0,0,1,0,0
Rui Pedro dos Santos Patrício,31,Premier League,Goalkeeper,Wolverhampton Wanderers,3330,Portugal,37,0,0,0,0,8,0,0
Ryan Bennett,29,Premier League,Defender,Wolverhampton Wanderers,3060,England,34,1,1,0,0,9,12,0
Willy Boly,28,Premier League,Defender,Wolverhampton Wanderers,3169,France,36,4,2,2,0,8,3,1
Matt Doherty,27,Premier League,Defender,Wolverhampton Wanderers,3147,Republic of Ireland,38,4,1,3,5,9,5,0
Conor Coady,26,Premier League,Midfielder,Wolverhampton Wanderers,3420,England,38,0,0,0,0,9,5,0
Jonny,25,Premier League,Defender,Wolverhampton Wanderers,2780,Spain,33,1,1,0,1,8,6,0
João Moutinho,33,Premier League,Midfielder,Wolverhampton Wanderers,3040,Portugal,38,1,0,1,8,9,4,0
Rúben Diogo Da Silva Neves,22,Premier League,Midfielder,Wolverhampton Wanderers,3009,Portugal,35,4,3,1,3,8,8,0
Diogo José Teixeira da Silva,22,Premier League,Midfielder,Wolverhampton Wanderers,2371,Portugal,33,9,7,2,5,9,11,0
Hélder Wander Sousa Azevedo Costa,25,Premier League,Midfielder,Wolverhampton Wanderers,1345,Portugal,25,1,0,1,2,5,3,0
Raúl Alonso Jiménez Rodríguez,28,Premier League,Forward,Wolverhampton Wanderers,3125,Mexico,38,13,8,5,7,9,4,0
Leonardo Bonatini Lohner Maia,25,Premier League,Forward,Wolverhampton Wanderers,128,Brazil,7,0,0,0,1,3,0,0
Rúben Gonçalo Silva Nascimento Vinagre,20,Premier League,Defender,Wolverhampton Wanderers,703,Portugal,17,0,0,0,0,5,1,0
Morgan Gibbs-White,19,Premier League,Midfielder,Wolverhampton Wanderers,647,England,26,0,0,0,1,5,1,0
Bright Enobakhare,21,Premier League,Forward,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0,0
John Ruddy,32,Premier League,Goalkeeper,Wolverhampton Wanderers,90,England,1,0,0,0,0,1,0,0
Romain Saïss,29,Premier League,Midfielder,Wolverhampton Wanderers,1144,Morocco,19,2,1,1,0,4,7,0
Kortney Hause,24,Premier League,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0,0
Jordan Pickford,25,Premier League,Goalkeeper,Everton,3420,England,38,0,0,0,0,14,1,0
Phil Jagielka,37,Premier League,Defender,Everton,329,England,7,1,1,0,0,5,1,1
Leighton Baines,34,Premier League,Defender,Everton,376,England,6,0,0,0,0,1,0,0
Séamus Coleman,31,Premier League,Defender,Everton,2560,Republic of Ireland,29,2,2,0,2,13,1,0
Michael Keane,26,Premier League,Defender,Everton,2970,England,33,1,0,1,2,13,2,0
Morgan Schneiderlin,29,Premier League,Midfielder,Everton,833,France,14,0,0,0,1,7,2,0
Gylfi Sigurdsson,30,Premier League,Midfielder,Everton,3134,Iceland,38,13,7,6,6,14,3,0
Idrissa Gana Gueye,30,Premier League,Midfielder,Everton,2825,Senegal,33,0,0,0,2,13,6,0
Theo Walcott,30,Premier League,Forward,Everton,2122,England,37,5,3,2,2,13,1,0
Cenk Tosun,28,Premier League,Forward,Everton,1050,Turkey,25,3,2,1,3,7,3,0
Richarlison de Andrade,22,Premier League,Forward,Everton,2679,Brazil,35,13,7,6,1,14,6,1
Mason Holgate,23,Premier League,Defender,Everton,407,England,5,0,0,0,0,0,1,0
Oumar Niasse,29,Premier League,Forward,Cardiff City,998,Senegal,18,0,0,0,0,3,0,0
